airpol,unit,airemsect,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
GHG,MIO_T,CRF1A3,AT	13.97566 	15.4567 	15.42654 	15.55814 	15.60622 	15.88657 	17.44017 	16.45264 	18.56118 	18.02241 	18.8182 	20.30911 	22.2217 	24.07441 	24.59009 	24.93685 	23.63189 	23.78841 	22.51082 	21.70944 	22.38674 	21.70464 	21.59698 	22.82038 	22.18072 
GHG,MIO_T,CRF1A3,BE	20.65199 	20.84929 	21.61032 	22.11514 	22.602 	22.68555 	23.09802 	23.2922 	23.93487 	24.2421 	24.64584 	25.20023 	25.51143 	26.0855 	27.15541 	26.18377 	25.58628 	25.52057 	27.86539 	27.00993 	27.09912 	26.87937 	24.83933 	24.63002 	25.22621 
GHG,MIO_T,CRF1A3,BG	6.78256 	3.89308 	4.08687 	4.63879 	4.26514 	4.56881 	4.46469 	4.48629 	5.68585 	5.92805 	5.68309 	5.83784 	6.08748 	6.68469 	7.02545 	7.83288 	8.31843 	8.15925 	8.5522 	8.22085 	7.97831 	8.16544 	8.45452 	7.46279 	8.51126 
GHG,MIO_T,CRF1A3,CY	1.21371 	1.21231 	1.36093 	1.37852 	1.43348 	1.52194 	1.5732 	1.64083 	1.71912 	1.76442 	1.80662 	1.86662 	1.84955 	1.95979 	2.06433 	2.10438 	2.09199 	2.22908 	2.27397 	2.27513 	2.32399 	2.25075 	2.0754 	1.86829 	1.81933 
GHG,MIO_T,CRF1A3,CZ	7.28403 	6.39038 	7.97336 	8.07605 	8.81187 	9.35455 	10.36551 	10.4596 	10.74738 	11.98593 	12.14177 	12.90384 	13.51504 	15.3392 	16.11222 	17.45948 	18.11302 	19.05647 	18.90177 	18.37916 	17.32307 	17.12296 	16.80133 	16.64955 	17.15713 
GHG,MIO_T,CRF1A3,DE	164.40449 	167.38776 	173.36256 	177.78936 	173.90522 	177.86507 	177.81589 	178.25968 	181.65434 	186.77837 	182.7644 	178.96128 	176.68206 	170.16349 	169.77578 	161.38211 	157.36026 	154.15862 	154.02055 	153.32701 	154.20518 	156.35967 	154.85081 	159.21754 	161.13009 
GHG,MIO_T,CRF1A3,DK	10.73348 	11.1556 	11.36116 	11.47026 	11.95353 	12.09293 	12.34955 	12.52261 	12.47337 	12.49013 	12.28504 	12.27313 	12.36532 	12.81564 	13.13385 	13.24219 	13.60475 	14.21661 	13.91069 	13.18322 	13.12375 	12.77917 	12.1467 	11.94821 	12.1263 
GHG,MIO_T,CRF1A3,EE	2.4791 	2.25757 	1.16796 	1.29193 	1.61907 	1.58577 	1.65374 	1.76009 	1.81426 	1.6965 	1.68338 	2.01069 	2.14347 	2.03593 	2.0806 	2.15244 	2.3129 	2.43583 	2.31404 	2.13576 	2.26266 	2.27111 	2.29651 	2.24177 	2.26606 
GHG,MIO_T,CRF1A3,EL	14.53641 	15.36498 	15.7523 	15.95451 	16.26998 	16.62048 	17.06687 	17.80251 	19.64787 	19.97946 	18.89914 	19.80514 	20.12681 	21.20167 	21.6479 	21.70765 	22.56028 	23.30458 	22.33375 	25.18425 	22.41844 	19.91214 	16.24345 	17.8457 	17.59555 
GHG,MIO_T,CRF1A3,ES	59.13796 	62.45467 	66.5842 	65.96533 	69.49745 	70.26841 	75.18723 	75.03403 	81.74585 	85.69496 	87.25975 	90.77952 	92.36871 	96.75378 	100.45771 	103.40491 	106.55547 	108.83074 	102.83501 	95.43053 	91.98906 	86.72156 	80.63279 	79.45071 	79.8786 
